Number,Questions,Option a,Option b,Option c,Option d,Correct Answer,Explanation,Level of Difficulty,Source,SUBJECT
792,Which medications are safe to be administered via a nasogastric tube?,"Drugs that can be absorbed via this route, can be crushed and diluted in water",Enteric-coated drugs,A cocktail of all medications mixed together,Any drugs that can be crushed,a,"Only certain medications are suitable for NG administration. Immediate-release tablets can often be crushed and dissolved. Enteric-coated and modified-release tablets must not be crushed. Medications should be given one at a time, not mixed.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
793,An overall risk of malnutrition (MUST score) of 2 or higher signifies what?,Low risk of malnutrition,Medium risk of malnutrition,High risk of malnutrition,No risk,c,"On the Malnutrition Universal Screening Tool ('MUST'), a score of 0 is low risk, a score of 1 is medium risk, and a score of 2 or more indicates a high risk of malnutrition, requiring a referral to a dietitian.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
794,How should a client with a left cast use crutches with a three-point gait?,"Advance left leg and right crutch, then right leg and left crutch",Advance crutches and then both legs simultaneously,Advance crutches and the right leg then advance the left leg,"Advance crutches and the left leg, then advance the right leg",d,"In a three-point gait (used when one leg is non-weight-bearing or partially weight-bearing), the patient moves both crutches and the affected leg forward together, and then follows by swinging the unaffected leg through.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
795,"Which layer of the skin contains blood vessels, sweat, and sebaceous glands?",Epidermis,Dermis,Subcutaneous layer,All of the above,b,"The dermis is the layer of skin beneath the epidermis. It contains tough connective tissue, hair follicles, sweat glands, sebaceous glands, blood vessels, and nerve endings.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
796,What is abduction?,Movement of a body part towards the body's midline,Movement of a body part away from the body's midline,Division of the body into front and back,Division of the body into left and right,d,Abduction is moving a limb or other body part away from the midline of the body. Adduction is moving it towards the midline.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
797,Approximately how long is the spinal cord in an adult?,30 cm,45 cm,60 cm,120 cm,b,The average length of the spinal cord in adult humans is about 45 cm in men and 43 cm in women.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
798,A patient is prescribed phenobarbitone 140mg. Stock ampoules contain 200mg/ml. What volume must be withdrawn?,0.5 ml,0.7 ml,0.9 ml,1.4 ml,b,Calculation: (What you want / What you've got) x Volume = (140mg / 200mg) x 1ml = 0.7ml.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
799,A patient is prescribed benzylpenicillin 1200mg IV. Stock is 1g in 5ml. What volume is needed?,5 ml,6 ml,7.5 ml,4 ml,b,Calculation: 1g = 1000mg. (1200mg / 1000mg) x 5ml = 1.2 x 5ml = 6ml.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
800,A vial of amoxicillin 500mg is reconstituted to a concentration of 200mg/ml. What volume is needed for a 120mg dose?,0.5 ml,0.6 ml,0.8 ml,1.2 ml,b,Calculation: (120mg / 200mg) x 1ml = 0.6ml.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
801,A PCA infusion of fentanyl contains 350 micrograms in 35ml. What is the concentration?,1 microgram/ml,10 micrograms/ml,100 micrograms/ml,0.1 micrograms/ml,b,Calculation: 350 micrograms / 35 ml = 10 micrograms per ml.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
802,A doctor orders Tylenol suppository 1g. Available are 325mg suppositories. How many should be given?,1,2,3,4,c,Calculation: 1g = 1000mg. 1000mg / 325mg = 3.07. You would need to administer 3 suppositories to get close to the prescribed dose.,Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
803,Synthroid 75mcg is ordered. Available are 0.15mg tablets. How many tablets are needed?,0.5 tablets,1 tablet,1.5 tablets,2 tablets,a,Calculation: 0.15mg = 150mcg. (75mcg / 150mcg) = 0.5 tablets.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
804,A child weighs 14kg. Order is for Diuril 1.8mg/kg. Available are 12.5mg caps. How many caps per dose?,1,2,2.5,3,b,"Calculation: Dose needed = 1.8mg x 14 = 25.2mg. Number of caps = 25.2mg / 12.5mg = 2.016. Therefore, 2 capsules would be administered.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
805,"Heparin 7,855 units is ordered. Available is 10,000 units per ml. How many ml to administer?",0.79 ml,1.79 ml,0.17 ml,1.17 ml,a,"Calculation: (7,855 units / 10,000 units) x 1ml = 0.7855 ml, which is rounded to 0.79ml.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
806,Tazidime 0.3g IM is ordered. Reconstitution provides 280mg/mL. How many mL to give?,1.9 ml,2 ml,1.1 ml,1.5 ml,c,"Calculation: 0.3g = 300mg. Volume = 300mg / 280mg/mL = 1.07 mL, which is rounded to 1.1ml.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
807,Infuse 1.5L of NS over 7 hours. What is the flow rate in ml/hr?,53.6 ml/hr,214.3 ml/hr,35.7 ml/hr,142.9 ml/hr,b,"Calculation: 1.5L = 1500ml. Flow rate = 1500ml / 7 hours = 214.28 ml/hr, which is rounded to 214.3 ml/hr.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
808,Infuse 1200mL at 125ml/hr. Drop factor is 12 gtt/ml. How many gtt/min?,2 gtt/min,12 gtt/min,25 gtt/min,27 gtt/min,c,Calculation: (125 ml/hr * 12 gtt/ml) / 60 min/hr = (1500 gtt/hr) / 60 min/hr = 25 gtt/min.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
809,The doctor prescribes 9mg of an anticoagulant. Stock tablets are 3mg. How many tablets to administer?,3 tablets,1.5 tablets,6 tablets,2 tablets,a,Calculation: 9mg / 3mg = 3 tablets.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
810,Paracetamol 1g is ordered. Stock is 500mg tablets. How many tablets to administer?,1,2,3,4,b,Calculation: 1g = 1000mg. 1000mg / 500mg = 2 tablets.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
811,A 100ml infusion is to be given over 30 minutes. What is the rate in ml/hr?,50 ml/hr,150 ml/hr,200 ml/hr,300 ml/hr,c,"Calculation: If 100ml is given in 30 minutes (0.5 hours), then in one hour (60 minutes) twice that amount would be given. 100ml x 2 = 200 ml/hr.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
812,A doctor prescribes 200 micrograms of a drug. Stock is 1mg/ml. How many ml to administer?,20 ml,2 ml,0.2 ml,0.02 ml,c,Calculation: 1mg = 1000 micrograms. You want 200mcg. (200mcg / 1000mcg) x 1ml = 0.2ml.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
813,An infusion of 24mg of Furosemide is ordered over 12 hrs. How much is infused per hour?,4 mg/hr,2 mg/hr,3 mg/hr,1 mg/hr,b,Calculation: 24mg / 12 hours = 2 mg per hour.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
814,A solution contains 12.5g of glucose in 0.25L. What is the percentage concentration (%)?,5%,10%,2.50%,12.50%,a,Calculation: 0.25L = 250ml. Concentration = (mass of solute / volume of solution) x 100 = (12.5g / 250ml) x 100 = 5%.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
815,A patient needs 5000mg of medication. Stock solution is 1g per 1mL. What volume is required?,0.5 ml,5 ml,50 ml,500 ml,b,"Calculation: 5000mg = 5g. If the stock is 1g per 1ml, then for 5g you need 5ml.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
816,"If 1000mg of chloramphenicol is given from a stock of 250mg/10mL, what volume is required?",20 ml,30 ml,40 ml,50 ml,c,"Calculation: You need 4 times the stock concentration (1000mg / 250mg = 4). Therefore, you need 4 times the stock volume. 4 x 10ml = 40ml.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
817,A patient is prescribed 3g of sulphadiazine from a stock of 600mg/5mL. How much stock is needed?,15 ml,20 ml,25 ml,30 ml,c,"Calculation: 3g = 3000mg. You need 5 times the stock concentration (3000mg / 600mg = 5). Therefore, you need 5 times the stock volume. 5 x 5ml = 25ml.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
818,A syringe contains 20mg of morphine in 4ml. What is the concentration in mg/ml?,4 mg/ml,5 mg/ml,10 mg/ml,20 mg/ml,b,Calculation: 20mg / 4ml = 5 mg per ml.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
819,You have 1g of a drug in 20ml of fluid. What is the concentration in mg/ml?,20 mg/ml,25 mg/ml,50 mg/ml,100 mg/ml,c,Calculation: 1g = 1000mg. 1000mg / 20ml = 50 mg per ml.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
820,Patient X requires 0.2mg of 1 in 1000 adrenaline. How many ml do you give?,0.1 ml,0.2 ml,1 ml,2 ml,b,"1 in 1000 adrenaline means 1g in 1000ml, which is 1000mg in 1000ml, or 1mg in 1ml. Therefore, to give 0.2mg, you need 0.2ml.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
821,What are the key features of an effective team?,"Effective communication, mutual respect, and constructive feedback","High level of trust, giving and receiving feedback, and decision making","Mutual respect, open communication, and willingness to share ideas",All of the above,d,All the listed options are essential components of effective teamwork and collaboration in a healthcare setting.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
822,What is a bad leadership characteristic?,Appreciating intuitiveness,Appreciating better work,Rewarding poor performance,Setting clear goals,c,"Rewarding poor performance demotivates high-performing team members and reinforces low standards, which is a hallmark of ineffective leadership.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
823,"A unit is disorganised, and staff feel they lack direction. This describes which leadership style?",Autocratic,Bureaucratic,Laissez-faire,Authoritarian,c,"Laissez-faire is a hands-off leadership style where the leader provides little to no direction, leading to a lack of guidance, role confusion, and often chaos.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
824,A management style with low concern for service and high concern for staff is known as what?,Organization Man,Impoverished Management,Country Club Management,Team Management,c,"In the Blake Mouton Managerial Grid, 'Country Club' leadership (1,9) focuses heavily on people's needs and creating a comfortable, friendly environment, sometimes at the expense of production and results.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
825,Which leadership style is best when group members are unable and unwilling to participate?,Participative,Authoritarian,Laissez-faire,Democratic,b,"In situations where the team lacks skill or motivation (low readiness), an authoritarian or 'telling' style is most effective, where the leader provides clear, direct instructions.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
826,The theory that 'leaders are born and not made' is which type of theory?,Trait,Charismatic,Great Man,Situational,c,"The 'Great Man' theory is an early leadership theory which suggested that leadership is an innate quality and that great leaders are born, not made.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
827,A leader who recognises staff for going beyond expectations is using which theory?,Path-Goal theory,Transactional theory,Trait theory,Transformational theory,d,"Transformational leaders inspire and motivate their followers to achieve extraordinary outcomes. Recognising and rewarding exceptional performance is a key part of this, fostering a sense of value and purpose.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
828,The contingency theory of management moves the manager away from which approach?,No perfect solution,One size fits all,Interaction of the system with the environment,A method that will be most effective in a given situation,b,Contingency theory is the opposite of a 'one size fits all' approach. It proposes that the best course of action is contingent upon the internal and external situation.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
829,What is the most important issue for a manager using situational leadership?,Leaders can choose one of four leadership styles,Personality traits and power base influence the choice of style,Value is placed on tasks and relationships,Leadership style differs for a group whose members are at different levels of maturity,d,The core principle of Situational Leadership is that a leader must adapt their style to the 'readiness' or maturity level of the person or group they are attempting to influence.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
830,A manager who focuses on the 'bottom line' with little concern for care quality is likely to what?,Be unwilling to listen to staff concerns unless they impact costs,Understand the organisation's values,Be communicating the importance of a caring environment,Be looking at the total care picture,a,"A focus on the 'bottom line' implies a primary concern for financial performance. This type of manager is likely to prioritise cost-saving measures over other concerns, such as staff wellbeing or quality of care, unless those concerns have a financial impact.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
831,Which is a characteristic of an effective leader?,Attention to detail,Sound problem-solving skills and strong people skills,Emphasis on consistent job performance,All of the above,b,"Effective leadership requires a blend of skills. Strong interpersonal ('people') skills are needed to inspire and motivate, while sound problem-solving skills are needed to navigate challenges and make good decisions.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
832,A new and inexperienced staff member should do what on their first day?,"Acknowledge your limitations, seek supervision from your team leader",Volunteer to do the drug rounds,Help in admitting patients,Answer all enquiries from the patients,a,It is crucial for a new nurse to practice safely by recognising the limits of their competence and seeking guidance and supervision from senior colleagues.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
833,A patient has a sexual interest in you. What should you do?,"Just avoid it, because it will resolve on its own",Never attend that patient,Try to re-establish therapeutic communication and inform the manager,Inform the police,c,"The nurse's role is to maintain professional boundaries. This involves addressing the behaviour with the patient in a calm, professional manner to re-establish the therapeutic relationship, and escalating the issue to a manager for support and to ensure a safe care environment.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
834,A medical-surgical nurse with no orthopaedic experience is floated to an ortho unit. Which client is most appropriate?,"Client with a cast, numbness & discolouration of toes",Client with balanced skeletal traction who needs help with morning care,Client with an above-the-knee amputation yesterday & a temp of 101.4F,Client who had a total hip replacement & needs blood glucose monitoring,d,"The most stable client with the most predictable and 'generic' nursing need is the one requiring a blood glucose check. The other clients have potentially unstable, complex orthopaedic issues (neurovascular compromise, traction, post-op infection) that require specialist knowledge.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
835,The nurse suspects a client is withholding health information. The nurse is concerned about a diagnostic error resulting from what?,Incomplete data,Generalising from experience,Identifying with the client,Lack of clinical experience,a,"A nursing diagnosis must be based on a comprehensive assessment. If the data collected is incomplete because the client is withholding information, any resulting diagnosis is at high risk of being inaccurate.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
836,A young woman with HIV believes she will die soon. What is the best response?,"""Where there is life there is hope.""","""Would you like to talk to the nurse who works with HIV-positive patients?""","""You are a long way from dying.""","""Not everyone who is HIV positive will develop AIDS & die.""",b,"This response is therapeutic because it is supportive and offers a practical, expert resource. It validates the patient's concerns without giving false reassurance or making predictions. A specialist nurse can provide accurate information and emotional support.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
837,When can a nurse divulge patient information?,When it can pose a threat to the public or when ordered by a court,When requested by family members,When asked by media personnel,When required by an employer,a,"Confidentiality is a duty, but not an absolute one. It can be breached if there is a compelling public interest (e.g., to protect others from serious harm) or if disclosure is required by law or a court order.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
838,You notice medical equipment is not working. Your colleagues are not using it. What is your role?,Raise the concern during an audit,Inform management in writing,Inform the NMC,Take a photograph,b,"Defective equipment poses a risk to patient safety. The nurse has a responsibility to remove it from use and report it immediately to the appropriate person, which is usually the line manager or a medical engineering department, following local policy. A written report ensures a clear record.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
839,An adult has signed a consent form for a research study but has changed her mind. The nurse tells her she has this right based on what principles?,Paternalism & justice,Autonomy & informed consent,Beneficence & double effect,Competence & right to know,b,"The principle of autonomy states that individuals have the right to make their own decisions. A key part of informed consent is that it can be withdrawn at any time, without penalty.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
840,Which action jeopardises the professional boundaries between a nurse and patient?,Focusing on a social relationship outside the working environment,Focusing on the needs of the patient related to their illness,Withholding personal value opinions related to the patient's decisions,Providing care within a professional framework,a,"The nurse-patient relationship is therapeutic, not social. Developing a personal or social relationship outside of the professional context crosses the established boundaries and is unprofessional.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
841,A patient with antisocial personality disorder enters a private meeting. The BEST statement by the nurse is:,"""Please leave and I will speak with you when I am done.""","""I need you to leave us alone.""","""You may sit with us as long as you are quiet.""","""I'm sorry, but HIPAA says that you can't be here.""",a,"This response is the most therapeutic. It is clear, firm, and respectful. It sets a boundary while also acknowledging the person and offering to meet their need at a specific future time.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
842,A client's cousin is a physician and wants to see the chart. What is the best response?,Ask the client to sign an authorisation & have someone review the chart with the cousin,Hand the cousin the chart,Call the attending physician to speak with the cousin,Tell the cousin the request cannot be granted,a,"Patient information is confidential. Access can only be granted with the explicit, written consent of the patient. Even with consent, it is good practice to have a member of staff present while the records are reviewed.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
843,"What is the main purpose of the 6 C's (Care, Compassion, Competence, Communication, Courage, Commitment)?",To provide a framework for nursing pay scales,To define the core values and behaviours expected of nurses in the NHS,To outline the steps of the nursing process,To list the duties of a healthcare assistant,b,"The 6Cs were developed as part of the 'Compassion in Practice' strategy to articulate the fundamental values that should underpin the culture and practice of nursing, midwifery, and care staff.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
844,You walk into a bay and see a colleague using a hoist incorrectly. What should you do?,Let them continue as you are not in charge,Report the event to the unit manager,Intervene immediately to ensure patient and staff safety,Inform the relatives of the mistake,c,"Patient safety is the immediate priority. The nurse has a professional duty to intervene to stop an unsafe practice. This should be done politely and supportively, but immediately, to prevent potential harm.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
845,"You are in charge of the next shift, but are informed two nurses will be absent. What should you do?",Encourage the remaining staff to do their best,Ask the manager if qualified staff from the previous shift can cover while you try to find replacements,Refuse to take charge of the shift,Delegate more tasks to the healthcare assistants,b,"This is the most proactive and responsible action. It involves communicating the problem up the chain of command (to the manager), exploring immediate solutions (asking staff to stay on), and looking for longer-term replacements, all with the aim of ensuring safe staffing levels.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
846,A supervisor reprimands a charge nurse about the budget. The charge nurse then accuses the nursing staff of wasting supplies. This is an example of what?,Denial,Repression,Suppression,Displacement,d,Displacement is a psychological defence mechanism where a person redirects their negative emotions from the original source to a less threatening target. The charge nurse is displacing their frustration from the supervisor onto the staff.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
847,A nurse is having trouble with care plans. The team has raised this as a concern. The nurse should:,Accept her weakness and request training from her manager,Ignore the criticism as a team issue,Continue delivering care as this will not affect quality,Blame the lack of time,a,A key part of professionalism is recognising one's own limitations and taking responsibility for professional development. The nurse should accept the feedback and proactively seek support and training to improve her skills.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
848,What is the best description of a clinical audit?,A tool to evaluate the effectiveness of interventions and identify what needs to be improved,A tool used to identify the weakest link in the system,A standard on which performance is based,A tool to set guidelines or protocols,a,"A clinical audit is a quality improvement cycle. It involves measuring the care provided against a defined standard (best practice), and then implementing changes to address any shortfalls.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
849,A client wants to go home against medical advice. They do not pose a threat to themselves or others. What should the nurse do?,Inform the management,Inform the local police,Call the security guard,"Allow the client to go, after ensuring they have capacity and have signed a self-discharge form",d,"A competent adult has the right to refuse treatment and discharge themselves from hospital. The nurse's role is to ensure the patient has the capacity to make this decision, understands the risks of leaving, and to document the process clearly.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
850,"Which statement about patient consent is the responsibility of the doctor, not the nurse?","""It is my responsibility to ensure the consent form has been signed.""","""It is my responsibility to witness the signature of the client.""","""It is my responsibility to answer questions that the patient may have.""","""It is my responsibility to provide a detailed description of the surgery.""",d,"Obtaining informed consent is the responsibility of the person performing the procedure (usually the doctor or surgeon). This involves explaining the procedure, its risks, benefits, and alternatives. The nurse's role is to witness the signature and confirm the patient understands, but not to provide the primary explanation.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
851,A patient knocks their head. What is the correct nursing action?,"Help the patient into a safe position, commence neurological observations, ask a doctor to review, and document",Let the relatives know so they don't complain,Discuss with the nurse in charge and contact your union,"Help the patient, take one set of observations, report to the nurse in charge, and complete an incident form",a,"After any head injury, the priority is to assess the patient for neurological damage. This involves a clinical assessment, starting neurological observations (like GCS), getting a medical review, and then documenting everything fully in the patient notes and on an incident form.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
852,A nurse restrains a client in a locked room. This constitutes:,False imprisonment,Duty of care,Standard of care practice,Contract of care,a,"False imprisonment is the act of unlawfully restraining a person against their will. Secluding a patient without a clear legal justification (e.g., under the Mental Health Act) constitutes false imprisonment.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
853,What are the characteristics of effective collaboration?,Common purpose and goals,Clinical competence of each provider,"Humour, trust, and valuing diverse knowledge",All of the above,d,"Effective collaboration requires all of these elements: a shared goal, competent team members who trust and respect each other, and an environment where diverse skills and open communication are valued.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
854,A client is voluntarily admitted to hospital. Which statement is inconsistent with this?,The client retains all of his or her rights,The client has a right to leave if not a danger to self or others,The client can sign a written request for discharge,The client cannot be released without medical advice,d,"A person who is in hospital voluntarily (an informal patient) has the right to leave at any time, even if it is against medical advice. They cannot be held against their will unless they are assessed and detained under the Mental Health Act.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
855,How would you explain anxiety to a patient?,"Signs include muscle tension, palpitations, and a dry mouth","Anxiety has three aspects: physical, behavioural, and cognitive","Anxiety is all in the mind, if they learn to think differently it will go away",Both a and b,d,"A good explanation would cover both the physical symptoms (the 'fight or flight' response) and the psychological components (the cognitive and behavioural aspects), as described in options a and b.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
856,A 23-year-old woman comes to the ER stating she has been raped. What is the nurse's responsibility concerning written consent?,The nurse should explain the procedure and ask her to sign,The nurse should verify that the consent form has been signed by the patient and is in her chart,The nurse should tell the physician that the patient agrees,The nurse should verify that the patient or a family member has signed,b,"While the doctor obtains the consent, the nurse has a crucial role in verifying that the consent is valid. This means checking that the patient has signed the form voluntarily, that they understood what they were signing, and that the form is correctly completed and filed.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
857,An unconscious patient requires an emergency craniotomy. What is the best action regarding consent?,Call the police to locate family,Obtain a court order,Ask the paramedics to sign,Transport the patient to the operating room for surgery,d,"In a life-threatening emergency where the patient cannot consent and no one with legal authority is available, healthcare professionals can provide treatment that is immediately necessary to save the patient's life, under the principle of necessity.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
858,What does assessing for 'no refusal' mean in the context of the Mental Capacity Act?,That the person has not already refused the treatment,That the person cannot refuse treatment,That the person does not have an advance decision,That the person is detained under the mental health act,a,"Before providing care under a 'best interests' decision, you must check if the person has previously refused that specific treatment at a time when they had capacity to do so. A valid and applicable refusal cannot be overridden.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
859,A 75-year-old needs a hip operation (ORIF). Which statement would best help her understand the procedure?,"""You are going to have an ORIF done to correct your fracture.""","""Some metal screws and pins will be attached to your hip to help with the healing of your broken bone.""","""The operation will require a metal fixator implanted to your femur.""","""The ORIF procedure will be done under general anaesthesia.""",b,"This statement uses simple, clear, non-medical language to explain what the operation involves. Using jargon like 'ORIF' or 'fixator' is not helpful for patient understanding.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
860,What is the legal position on consent for children under 18 in the UK?,Only children between 16-18 are competent to give it,Parents are always responsible for giving consent,Children who are 'Gillick competent' can give their own consent,Anyone over 16 can consent as an adult,c,"While those aged 16-17 can consent as an adult, children under 16 can also consent to their own treatment if they are believed to have enough intelligence, competence and understanding to fully appreciate what's involved (Gillick competence).",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
861,What is the primary focus of a manager in a knowledge-based work environment like nursing?,Developing the most effective teams,Taking risks,Routine work,Understanding the history of the organization,a,"In modern healthcare, a manager's role is not just to supervise tasks, but to create and develop effective, collaborative teams that can adapt and solve complex problems.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
862,"A nurse is promoted to manager. How can they best exercise authority with older, more experienced staff?",Maintain an autocratic approach,Understand complex healthcare environments,Use critical thinking to solve problems,"Give assignments clearly, taking staff expertise into consideration",d,A new manager can gain respect and exercise authority effectively by demonstrating that they recognise and value the skills and expertise of their team members. Making appropriate and respectful assignments is a key way to do this.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
863,The nurse has just been promoted to unit manager. What advice will help them become inspirational?,"""If you make a mistake, admit it, apologize, and correct it.""","""Don't be too soft. If they make a mistake, reprimand them.""","""Give your best nurses extra attention and rewards.""","""Never get into a disagreement with a staff member.""",a,"Admitting mistakes shows honesty, integrity, and humility. This builds trust and respect, which are essential qualities for an inspirational and motivational leader.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
864,What should be the primary goal when developing new nurse managers?,To reward current staff for doing a good job,To prepare these managers to focus on maintaining standards of care,To prepare these managers to oversee the entire organisation,To prepare them to interact with hospital administration,b,"While all are aspects of management, the fundamental role of a nurse manager is to ensure that safe, high-quality, evidence-based care is delivered on their unit. Their primary focus must be on maintaining and improving standards of care.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
865,A nurse manager is planning to change the documentation system. What is the initial step?,Plan strategies to implement the change,Identify the inefficiency that needs improvement or correction,Identify potential solutions and strategies,Set a date for the change,b,"The first step in any change process is to clearly identify the problem or inefficiency that needs to be addressed. Without a clear understanding of what is wrong, it is impossible to plan an effective solution.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
866,A patient asks for LAMA (Leaving Against Medical Advice). The team has concerns about their mental capacity. What should be done?,Call the police.,Call the security.,Let the patient go.,Encourage the patient to wait by explaining the need for treatment.,d,"The first step is always to use communication and persuasion. If the patient persists and there are genuine doubts about their capacity to make this decision, a formal capacity assessment under the Mental Capacity Act would be the next step.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
867,What is the term for a person who supervises a nursing student in a clinical area?,Mentor,Preceptor,Interceptor,Supervisor,a,"In UK nursing education, the registered nurse who is responsible for supervising and assessing a student in a practice placement is known as a 'mentor' or, more recently, a 'practice supervisor/assessor'.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
868,A community nurse notices a student nurse chatting on her phone during a home visit. What is the ideal response?,Ask the student to leave the group,Warn her in public,Inform the principal,Talk to her in private and explain how this behaviour is unprofessional,d,This response is professional and constructive. It avoids public humiliation and focuses on educating the student about professional conduct and the importance of being present and engaged with the patient.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
869,What is the minimum length of time a student must be supervised by their mentor on placement?,40%,60%,"Not specified, but as much as possible",Depends on the student's capabilities,a,"NMC standards state that the student must be supervised, directly or indirectly, by their mentor for a minimum of 40% of the time they are on placement.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
870,What is 'acculturation'?,A person's heritage and sense of belonging,A culturally distinct group within a society,A process of learning a different culture to adapt to a new environment,A group that shares some characteristics of a larger group,c,"Acculturation is the process of social, psychological, and cultural change that stems from the balancing of two cultures while adapting to the prevailing culture of the society.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
871,A nursing student is assisting a patient with their meal and the patient starts coughing frequently. What is the initial action?,Tell the student to feed the patient slowly,Ask the student to completely stop feeding,Ask the student to give the patient sips of water,Ask the student to stop feeding and assess the patient's swallowing,d,Coughing during meals is a red flag for dysphagia (swallowing difficulties) and a risk of aspiration. The immediate priority is to stop feeding and perform an assessment of the patient's ability to swallow safely.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
